"Pos","Yd40","Vertical","Bench","Broad","Cone3","Shuttle","CarAVPerSeason"
"QB",0.713159968479117,0.645454545454545,0,0.694736842105263,0.806593406593407,0.773584905660378,17.2130952380952
"WR",0.964539007092198,0.818909090909091,0,0.95906432748538,0.970370370370371,0.973445143256464,15.575
"RB",0.888888888888889,0.58,0.335235378031384,0.789473684210526,0.866666666666667,0.777777777777777,14.16
"FB",0.706855791962175,0.555151515151515,0.34134909313226,0.673684210526316,0.67912087912088,0.583707696915244,3.17359307359307
"OT",0.112293144208038,0.0836363636363635,0.609446822000317,0.0842105263157895,0.052564102564103,0.0377358490566037,13.425
"OG",0.195035460992909,0.186666666666667,0.685528609922333,0.152631578947368,0,0,13.58
"C",0,0,0.663338088445078,0,0.0666666666666671,0.106918238993712,11.375
"TE",0.765366430260047,0.668051948051948,0.420827389443652,0.771929824561403,0.782051282051282,0.39622641509434,7.73194444444444
"OLB",0.78014184397163,0.784,0.412902203201775,0.955789473684211,0.858689458689459,0.703237829023992,13.5366666666667
"ILB",0.712765957446808,0.695757575757575,0.469963544143287,0.678362573099415,0.684981684981685,0.758909853249476,12.98579004329
"DE",0.611111111111111,0.632727272727272,0.438262799175781,0.757894736842105,0.757264957264957,0.576519916142557,10.9989926739927
"DT",0.391252955082742,0.318181818181818,1,0.372932330827068,0.384615384615385,0.313766596785465,13.7594444444444
"CB",1,0.945454545454545,0.0285306704707561,0.996491228070176,1,1,11.6033333333333
"SS",0.898345153664302,0.753939393939394,0.0855920114122682,0.868421052631579,0.995897435897436,0.995807127882599,7.92621212121212
"FS",0.842789598108746,1,0.0998573466476462,1,0.857875457875458,0.844863731656184,8.67268398268398
"LS",0.437352245862884,0,0.00713266761768902,0,0,0,1
"P",0.415024954032047,0.356363636363636,0.349500713266762,0.842105263157895,0,0,2.74098484848485
"K",0.437352245862884,0.618181818181818,0,0.673684210526316,0,0,2.75219696969697
